id	verdict	observation	reviewer	reviewedAt
vocab-summarize	accept		claude-opus-5	2026-08-13
vocab-revise	accept		claude-opus-5	2026-08-13
vocab-outline	accept		claude-opus-5	2026-08-13
vocab-transcript	accept		claude-opus-5	2026-08-13
vocab-appendix	accept		claude-opus-5	2026-08-13
vocab-footnote	accept		claude-opus-5	2026-08-13
vocab-circulate	accept		claude-opus-5	2026-08-13
vocab-disseminate	accept		claude-opus-5	2026-08-13
vocab-briefing	accept		claude-opus-5	2026-08-13
vocab-consensus	accept		claude-opus-5	2026-08-13
vocab-unanimous	accept		claude-opus-5	2026-08-13
vocab-ratify	accept		claude-opus-5	2026-08-13
vocab-amendment	accept		claude-opus-5	2026-08-13
vocab-addendum	accept		claude-opus-5	2026-08-13
vocab-disclose	accept		claude-opus-5	2026-08-13
vocab-confidential	accept		claude-opus-5	2026-08-13
vocab-proofread	accept		claude-opus-5	2026-08-13
vocab-qualification	accept		claude-opus-5	2026-08-13
vocab-credential	accept		claude-opus-5	2026-08-13
vocab-onboarding	accept		claude-opus-5	2026-08-13
vocab-mentor	accept		claude-opus-5	2026-08-13
vocab-probation	accept		claude-opus-5	2026-08-13
vocab-appraisal	accept		claude-opus-5	2026-08-13
vocab-workforce	accept		claude-opus-5	2026-08-13
vocab-personnel	accept		claude-opus-5	2026-08-13
vocab-seniority	accept		claude-opus-5	2026-08-13
vocab-tenure	accept		claude-opus-5	2026-08-13
vocab-commend	accept		claude-opus-5	2026-08-13
vocab-commendation	accept		claude-opus-5	2026-08-13
vocab-internship	accept		claude-opus-5	2026-08-13
vocab-payroll	accept		claude-opus-5	2026-08-13
vocab-pension	accept		claude-opus-5	2026-08-13
vocab-entitlement	accept		claude-opus-5	2026-08-13
vocab-headcount	accept		claude-opus-5	2026-08-13
vocab-liquidity	accept		claude-opus-5	2026-08-13
vocab-solvency	accept		claude-opus-5	2026-08-13
vocab-depreciation	accept		claude-opus-5	2026-08-13
vocab-amortize	accept		claude-opus-5	2026-08-13
vocab-ledger	accept		claude-opus-5	2026-08-13
vocab-reconcile	accept		claude-opus-5	2026-08-13
vocab-reconciliation	accept		claude-opus-5	2026-08-13
vocab-remittance	accept		claude-opus-5	2026-08-13
vocab-surplus	accept		claude-opus-5	2026-08-13
vocab-deficit	accept		claude-opus-5	2026-08-13
vocab-overhead	accept		claude-opus-5	2026-08-13
vocab-capital	accept		claude-opus-5	2026-08-13
vocab-equity	accept		claude-opus-5	2026-08-13
vocab-dividend	accept		claude-opus-5	2026-08-13
vocab-valuation	accept		claude-opus-5	2026-08-13
vocab-underwrite	accept		claude-opus-5	2026-08-13
vocab-collateral	accept		claude-opus-5	2026-08-13
vocab-prototype	accept		claude-opus-5	2026-08-13
vocab-specification	accept		claude-opus-5	2026-08-13
vocab-tolerance	accept		claude-opus-5	2026-08-13
vocab-calibrate	accept		claude-opus-5	2026-08-13
vocab-durability	accept		claude-opus-5	2026-08-13
vocab-batch	accept		claude-opus-5	2026-08-13
vocab-consignment	accept		claude-opus-5	2026-08-13
vocab-procure	accept		claude-opus-5	2026-08-13
vocab-backlog	accept		claude-opus-5	2026-08-13
vocab-bottleneck	accept		claude-opus-5	2026-08-13
vocab-throughput	accept		claude-opus-5	2026-08-13
vocab-refurbish	accept		claude-opus-5	2026-08-13
vocab-recall	accept		claude-opus-5	2026-08-13
vocab-obsolete	accept		claude-opus-5	2026-08-13
vocab-perishable	accept		claude-opus-5	2026-08-13
vocab-bulk	accept		claude-opus-5	2026-08-13
vocab-stockpile	accept		claude-opus-5	2026-08-13
vocab-demographic	accept	初回判定はrevise: backがdemographicの形容詞的訳「人口統計上の」だが、phrase「targets a younger demographic」ではdemographicは名詞（対象層）として使われており、品詞が一致していない。学習者が誤ったPOSで暗記する。 → ウェーブ7・8の修正後に再判定（2026-08-13）。題材の適格性・選択肢セットの重複・話者と設問の整合・正答位置の偏りはcontentLintとverify-contentの機械検査で確認した	claude-opus-5	2026-08-13
vocab-niche	accept		claude-opus-5	2026-08-13
vocab-benchmark	accept		claude-opus-5	2026-08-13
vocab-outreach	accept		claude-opus-5	2026-08-13
vocab-sponsorship	accept		claude-opus-5	2026-08-13
vocab-sponsor	accept		claude-opus-5	2026-08-13
vocab-testimonial	accept		claude-opus-5	2026-08-13
vocab-incentive	accept		claude-opus-5	2026-08-13
vocab-markup	accept		claude-opus-5	2026-08-13
vocab-clearance	accept		claude-opus-5	2026-08-13
vocab-loyalty	accept		claude-opus-5	2026-08-13
vocab-exclusive	accept		claude-opus-5	2026-08-13
vocab-premium	accept		claude-opus-5	2026-08-13
vocab-retailer	accept		claude-opus-5	2026-08-13
vocab-wholesaler	accept		claude-opus-5	2026-08-13
vocab-consumer	accept		claude-opus-5	2026-08-13
vocab-complaint	accept		claude-opus-5	2026-08-13
vocab-grievance	accept		claude-opus-5	2026-08-13
vocab-dissatisfaction	accept		claude-opus-5	2026-08-13
vocab-apologize	accept		claude-opus-5	2026-08-13
vocab-apology	accept		claude-opus-5	2026-08-13
vocab-resolve	accept		claude-opus-5	2026-08-13
vocab-resolution	accept		claude-opus-5	2026-08-13
vocab-escalate	accept		claude-opus-5	2026-08-13
vocab-escalation	accept		claude-opus-5	2026-08-13
vocab-compensate	accept		claude-opus-5	2026-08-13
vocab-compensation	accept		claude-opus-5	2026-08-13
vocab-courteous	accept		claude-opus-5	2026-08-13
vocab-courtesy	accept		claude-opus-5	2026-08-13
vocab-empathize	accept		claude-opus-5	2026-08-13
vocab-satisfaction	accept		claude-opus-5	2026-08-13
vocab-dispute	accept		claude-opus-5	2026-08-13
vocab-redress	accept		claude-opus-5	2026-08-13
vocab-layover	accept		claude-opus-5	2026-08-13
vocab-transit	accept		claude-opus-5	2026-08-13
vocab-checkpoint	accept		claude-opus-5	2026-08-13
vocab-customs	accept		claude-opus-5	2026-08-13
vocab-visa	accept		claude-opus-5	2026-08-13
vocab-passport	accept		claude-opus-5	2026-08-13
vocab-chauffeur	accept		claude-opus-5	2026-08-13
vocab-shuttle	accept		claude-opus-5	2026-08-13
vocab-concierge	accept		claude-opus-5	2026-08-13
vocab-amenity	accept		claude-opus-5	2026-08-13
vocab-vacancy	accept		claude-opus-5	2026-08-13
vocab-overbook	accept		claude-opus-5	2026-08-13
vocab-refundable	accept		claude-opus-5	2026-08-13
vocab-punctual	accept		claude-opus-5	2026-08-13
vocab-connection	accept		claude-opus-5	2026-08-13
vocab-firewall	accept		claude-opus-5	2026-08-13
vocab-encryption	accept		claude-opus-5	2026-08-13
vocab-encrypt	accept		claude-opus-5	2026-08-13
vocab-bandwidth	accept		claude-opus-5	2026-08-13
vocab-glitch	accept		claude-opus-5	2026-08-13
vocab-backup	accept		claude-opus-5	2026-08-13
vocab-malware	accept		claude-opus-5	2026-08-13
vocab-interface	accept		claude-opus-5	2026-08-13
vocab-browser	accept		claude-opus-5	2026-08-13
vocab-algorithm	accept		claude-opus-5	2026-08-13
vocab-configure	accept		claude-opus-5	2026-08-13
vocab-configuration	accept		claude-opus-5	2026-08-13
vocab-compatible	accept		claude-opus-5	2026-08-13
vocab-compatibility	accept		claude-opus-5	2026-08-13
vocab-synchronize	accept		claude-opus-5	2026-08-13
vocab-integrate	accept		claude-opus-5	2026-08-13
vocab-integration	accept		claude-opus-5	2026-08-13
vocab-zoning	accept		claude-opus-5	2026-08-13
vocab-blueprint	accept		claude-opus-5	2026-08-13
vocab-contractor	accept		claude-opus-5	2026-08-13
vocab-subcontractor	accept		claude-opus-5	2026-08-13
vocab-demolition	accept		claude-opus-5	2026-08-13
