id	verdict	observation	reviewer	reviewedAt
vocab-buy	accept		claude-opus-5	2026-08-13
vocab-sell	accept		claude-opus-5	2026-08-13
vocab-price	accept		claude-opus-5	2026-08-13
vocab-cheap	accept		claude-opus-5	2026-08-13
vocab-expensive	accept		claude-opus-5	2026-08-13
vocab-open	accept		claude-opus-5	2026-08-13
vocab-close	accept		claude-opus-5	2026-08-13
vocab-early	accept		claude-opus-5	2026-08-13
vocab-late	accept		claude-opus-5	2026-08-13
vocab-busy	accept		claude-opus-5	2026-08-13
vocab-help	accept		claude-opus-5	2026-08-13
vocab-need	accept		claude-opus-5	2026-08-13
vocab-use	accept		claude-opus-5	2026-08-13
vocab-learn	accept		claude-opus-5	2026-08-13
vocab-teach	accept		claude-opus-5	2026-08-13
vocab-answer	accept		claude-opus-5	2026-08-13
vocab-question	accept		claude-opus-5	2026-08-13
vocab-problem	accept		claude-opus-5	2026-08-13
vocab-easy	accept		claude-opus-5	2026-08-13
vocab-difficult	accept		claude-opus-5	2026-08-13
vocab-large	accept		claude-opus-5	2026-08-13
vocab-small	accept		claude-opus-5	2026-08-13
vocab-increase	accept		claude-opus-5	2026-08-13
vocab-decrease	accept		claude-opus-5	2026-08-13
vocab-arrive	accept		claude-opus-5	2026-08-13
vocab-return	accept		claude-opus-5	2026-08-13
vocab-borrow	accept		claude-opus-5	2026-08-13
vocab-lend	accept		claude-opus-5	2026-08-13
vocab-choose	accept		claude-opus-5	2026-08-13
vocab-decide	accept		claude-opus-5	2026-08-13
vocab-explain	accept		claude-opus-5	2026-08-13
vocab-introduce	accept		claude-opus-5	2026-08-13
vocab-improve	accept		claude-opus-5	2026-08-13
vocab-prepare	accept		claude-opus-5	2026-08-13
vocab-finish	accept		claude-opus-5	2026-08-13
vocab-begin	accept		claude-opus-5	2026-08-13
vocab-repair	accept		claude-opus-5	2026-08-13
vocab-compare	accept		claude-opus-5	2026-08-13
vocab-contain	accept		claude-opus-5	2026-08-13
vocab-provide	accept		claude-opus-5	2026-08-13
vocab-receive	accept		claude-opus-5	2026-08-13
vocab-accept	accept		claude-opus-5	2026-08-13
vocab-refuse	accept		claude-opus-5	2026-08-13
vocab-allow	accept		claude-opus-5	2026-08-13
vocab-avoid	accept		claude-opus-5	2026-08-13
vocab-discuss	accept		claude-opus-5	2026-08-13
vocab-suggest	accept		claude-opus-5	2026-08-13
vocab-mention	accept		claude-opus-5	2026-08-13
vocab-measure	accept		claude-opus-5	2026-08-13
vocab-remain	accept		claude-opus-5	2026-08-13
