id	verdict	observation	reviewer	reviewedAt
vocab-verbatim	accept		claude-opus-5	2026-08-13
vocab-paraphrase	accept		claude-opus-5	2026-08-13
vocab-elaborate	accept		claude-opus-5	2026-08-13
vocab-elaboration	accept		claude-opus-5	2026-08-13
vocab-stipulate	accept		claude-opus-5	2026-08-13
vocab-stipulation	accept		claude-opus-5	2026-08-13
vocab-preamble	accept		claude-opus-5	2026-08-13
vocab-annex	accept		claude-opus-5	2026-08-13
vocab-networking	accept		claude-opus-5	2026-08-13
vocab-comprehensive	accept		claude-opus-5	2026-08-13
vocab-mentorship	accept		claude-opus-5	2026-08-13
vocab-teamwork	accept		claude-opus-5	2026-08-13
vocab-corroborate	accept		claude-opus-5	2026-08-13
vocab-substantiate	accept		claude-opus-5	2026-08-13
vocab-annotate	accept		claude-opus-5	2026-08-13
vocab-annotation	accept		claude-opus-5	2026-08-13
vocab-synopsis	accept		claude-opus-5	2026-08-13
vocab-apprenticeship	accept		claude-opus-5	2026-08-13
vocab-retention	accept		claude-opus-5	2026-08-13
vocab-incentivize	accept		claude-opus-5	2026-08-13
vocab-gratuity	accept		claude-opus-5	2026-08-13
vocab-facilitator	accept		claude-opus-5	2026-08-13
vocab-meritocracy	accept		claude-opus-5	2026-08-13
vocab-honorarium	accept		claude-opus-5	2026-08-13
vocab-mediate	accept		claude-opus-5	2026-08-13
vocab-mediation	accept		claude-opus-5	2026-08-13
vocab-turnaround	accept		claude-opus-5	2026-08-13
vocab-modernize	accept		claude-opus-5	2026-08-13
vocab-modernization	accept		claude-opus-5	2026-08-13
vocab-restructure	accept		claude-opus-5	2026-08-13
vocab-restructuring	accept		claude-opus-5	2026-08-13
vocab-moonlighting	accept		claude-opus-5	2026-08-13
vocab-sabbatical	accept		claude-opus-5	2026-08-13
vocab-expatriate	accept		claude-opus-5	2026-08-13
vocab-hedge	accept		claude-opus-5	2026-08-13
vocab-hedging	accept		claude-opus-5	2026-08-13
vocab-derivative	accept		claude-opus-5	2026-08-13
vocab-arbitrage	accept		claude-opus-5	2026-08-13
vocab-profitability	accept		claude-opus-5	2026-08-13
vocab-amortization	accept		claude-opus-5	2026-08-13
vocab-growth	accept		claude-opus-5	2026-08-13
vocab-investment	accept		claude-opus-5	2026-08-13
vocab-asset	accept		claude-opus-5	2026-08-13
vocab-portfolio	accept		claude-opus-5	2026-08-13
vocab-diversify	accept		claude-opus-5	2026-08-13
vocab-diversification	accept		claude-opus-5	2026-08-13
vocab-leverage	accept		claude-opus-5	2026-08-13
vocab-subsidy	accept		claude-opus-5	2026-08-13
vocab-tariff	accept		claude-opus-5	2026-08-13
vocab-levy	accept		claude-opus-5	2026-08-13
vocab-licensing	accept		claude-opus-5	2026-08-13
vocab-commissioning	accept		claude-opus-5	2026-08-13
vocab-decommission	accept		claude-opus-5	2026-08-13
vocab-retrofit	accept		claude-opus-5	2026-08-13
vocab-streamline	accept		claude-opus-5	2026-08-13
vocab-optimize	accept		claude-opus-5	2026-08-13
vocab-optimization	accept		claude-opus-5	2026-08-13
vocab-automate	accept		claude-opus-5	2026-08-13
vocab-automation	accept		claude-opus-5	2026-08-13
vocab-offshoring	accept		claude-opus-5	2026-08-13
vocab-subcontracting	accept		claude-opus-5	2026-08-13
vocab-expedite	accept		claude-opus-5	2026-08-13
vocab-consolidate	accept		claude-opus-5	2026-08-13
vocab-consolidation	accept		claude-opus-5	2026-08-13
