id	種別	本文プレビュー	status(採用・修正・破棄)	修正内容	破棄理由
p6-001	text_passage	[Part6/email] Subject: Office Relocation Update...			
p6-002	text_passage	[Part6/notice] NOTICE: Elevator Maintenance...			
p6-003	text_passage	[Part6/memo] MEMO...			
p6-004	text_passage	[Part6/email] Subject: Scheduled Network Upgrade...			
p6-005	text_passage	[Part6/email] Subject: Annual Sales Conference — Registration Reminder...			
p6-006	text_passage	[Part6/notice] NOTICE: Updated Security Badge Policy...			
p6-007	text_passage	[Part6/memo] MEMO...			
p6-008	text_passage	[Part6/email] Subject: Invoice Discrepancy — Order 4482...			
p6-009	text_passage	[Part6/memo] MEMO...			
p6-010	text_passage	[Part6/notice] NOTICE: New Recycling Program...			
p6-011	text_passage	[Part6/email] Subject: Cafeteria Menu Change Notice...			
p6-012	text_passage	[Part6/article] Local Employees Take Part in Community Volunteer Day...			
p6-013	text_passage	[Part6/email] Subject: Vendor Contract Renewal — Action Needed...			
p6-014	text_passage	[Part6/email] Subject: New Employee Orientation Reminder...			
p6-015	text_passage	[Part6/memo] MEMO...			
p6-016	text_passage	[Part6/email] Subject: Please Share Your Feedback...			
p6-017	text_passage	[Part6/notice] NOTICE: Scheduled Network Outage...			
p6-018	text_passage	[Part6/article] Downtown Bank Opens New Branch...			
p6-019	text_passage	[Part6/email] Subject: Business Trip Itinerary and Expense Policy...			
p6-020	text_passage	[Part6/notice] NOTICE: Product Recall — Model X200 Charger...			
p6-021	text_passage	[Part6/notice] NOTICE: Parking Permit Renewal...			
p6-022	text_passage	[Part6/advertisement] Office Supply Spring Sale...			
p6-023	text_passage	[Part6/memo] MEMO...			
p6-024	text_passage	[Part6/notice] NOTICE: Gym Facility Now Open to All Staff...			
p6-025	text_passage	[Part6/article] Company Launches Sustainability Initiative...			
p6-026	text_passage	[Part6/form] ANNUAL PERFORMANCE APPRAISAL FORM — INSTRUCTIONS...			
p6-027	text_passage	[Part6/notice] NOTICE: Visitor Sign-In Procedure Update...			
p6-028	text_passage	[Part6/memo] MEMO...			
p6-029	text_passage	[Part6/email] Subject: Delay in Shipment to Regional Warehouse...			
p6-030	text_passage	[Part6/article] Local Firm Reaches Major Milestone...			
