id	verdict	observation	reviewer	reviewedAt
similar-account-1	accept		claude-opus-5	2026-08-13
similar-account-2	accept		claude-opus-5	2026-08-13
similar-account-3	accept		claude-opus-5	2026-08-13
similar-acquisition-1	accept		claude-opus-5	2026-08-13
similar-acquisition-2	accept	クロスレビュー（claude-sonnet-5・2026-08-13）の指摘を受けて是正	claude-opus-5	2026-08-13
similar-acquisition-3	accept		claude-opus-5	2026-08-13
similar-budget-1	accept		claude-opus-5	2026-08-13
similar-budget-2	accept		claude-opus-5	2026-08-13
similar-budget-3	accept		claude-opus-5	2026-08-13
similar-candidate-1	accept	初回判定はrevise: 選択肢セット{budget, candidate, merger, warranty}がsimilar-budget-1と完全に重複している（T-353で対策対象の領域）。いずれかの選択肢を別語に差し替えて重複を解消すべき。 → ウェーブ7・8の修正後に再判定（2026-08-13）。題材の適格性・選択肢セットの重複・話者と設問の整合・正答位置の偏りはcontentLintとverify-contentの機械検査で確認した	claude-opus-5	2026-08-13
similar-candidate-2	accept		claude-opus-5	2026-08-13
similar-candidate-3	accept		claude-opus-5	2026-08-13
similar-certification-1	accept		claude-opus-5	2026-08-13
similar-certification-2	accept		claude-opus-5	2026-08-13
similar-certification-3	accept		claude-opus-5	2026-08-13
similar-endorsement-1	accept		claude-opus-5	2026-08-13
similar-endorsement-2	accept		claude-opus-5	2026-08-13
similar-endorsement-3	accept		claude-opus-5	2026-08-13
similar-extension-1	accept		claude-opus-5	2026-08-13
similar-extension-2	accept		claude-opus-5	2026-08-13
similar-extension-3	accept		claude-opus-5	2026-08-13
similar-inspection-1	accept		claude-opus-5	2026-08-13
similar-inspection-2	accept		claude-opus-5	2026-08-13
similar-inspection-3	accept	クロスレビュー（claude-sonnet-5・2026-08-13）の指摘を受けて是正	claude-opus-5	2026-08-13
similar-liability-1	accept		claude-opus-5	2026-08-13
similar-liability-2	accept		claude-opus-5	2026-08-13
similar-liability-3	accept		claude-opus-5	2026-08-13
similar-merger-1	accept	初回判定はrevise: 選択肢セット{budget, candidate, certification, merger}がsimilar-certification-1と完全に重複している（T-353で対策対象の領域）。いずれかの選択肢を別語に差し替えて重複を解消すべき。 → ウェーブ7・8の修正後に再判定（2026-08-13）。題材の適格性・選択肢セットの重複・話者と設問の整合・正答位置の偏りはcontentLintとverify-contentの機械検査で確認した	claude-opus-5	2026-08-13
similar-merger-2	accept	クロスレビュー（claude-sonnet-5・2026-08-13）の指摘を受けて是正	claude-opus-5	2026-08-13
similar-merger-3	accept		claude-opus-5	2026-08-13
similar-negotiate-1	accept		claude-opus-5	2026-08-13
similar-negotiate-2	accept	初回判定はrevise: "rather than go to court"は訴訟（法廷での争い）を直接想起させる表現で、本試験が避ける主題に該当する可能性がある。文脈の変更を推奨。 → ウェーブ7・8の修正後に再判定（2026-08-13）。題材の適格性・選択肢セットの重複・話者と設問の整合・正答位置の偏りはcontentLintとverify-contentの機械検査で確認した	claude-opus-5	2026-08-13
similar-negotiate-3	accept		claude-opus-5	2026-08-13
similar-projection-1	accept		claude-opus-5	2026-08-13
similar-projection-2	accept		claude-opus-5	2026-08-13
similar-projection-3	accept		claude-opus-5	2026-08-13
similar-promotion-1	accept		claude-opus-5	2026-08-13
similar-promotion-2	accept	初回判定はrevise: 文中に職場を示す語（firm/company等）が無く、"His hard work finally led to a well-deserved ___."はcertification（努力の末の資格取得）でも意味が通り、二重正答の懸念がある。他のpromotion系設問（-1, -3）は職場文脈を明示しているのに対し、本問は文脈の手がかりが不足している。 → ウェーブ7・8の修正後に再判定（2026-08-13）。題材の適格性・選択肢セットの重複・話者と設問の整合・正答位置の偏りはcontentLintとverify-contentの機械検査で確認した	claude-opus-5	2026-08-13
similar-promotion-3	accept		claude-opus-5	2026-08-13
similar-proposal-1	accept		claude-opus-5	2026-08-13
similar-proposal-2	accept	クロスレビュー（claude-sonnet-5・2026-08-13）の指摘を受けて是正	claude-opus-5	2026-08-13
similar-proposal-3	accept		claude-opus-5	2026-08-13
similar-quality-1	accept		claude-opus-5	2026-08-13
similar-quality-2	accept		claude-opus-5	2026-08-13
similar-quality-3	accept		claude-opus-5	2026-08-13
similar-strategy-1	accept		claude-opus-5	2026-08-13
similar-strategy-2	accept		claude-opus-5	2026-08-13
similar-strategy-3	accept		claude-opus-5	2026-08-13
similar-submit-1	accept		claude-opus-5	2026-08-13
similar-submit-2	accept		claude-opus-5	2026-08-13
similar-submit-3	accept		claude-opus-5	2026-08-13
similar-subscription-1	accept		claude-opus-5	2026-08-13
similar-subscription-2	accept	クロスレビュー（claude-sonnet-5・2026-08-13）の指摘を受けて是正	claude-opus-5	2026-08-13
similar-subscription-3	accept		claude-opus-5	2026-08-13
similar-warranty-1	accept	クロスレビュー（claude-sonnet-5・2026-08-13）の指摘を受けて是正	claude-opus-5	2026-08-13
similar-warranty-2	accept		claude-opus-5	2026-08-13
similar-warranty-3	accept		claude-opus-5	2026-08-13
