id	verdict	observation	reviewer	reviewedAt
p6-001	accept		claude-opus-5	2026-08-13
p6-002	accept		claude-opus-5	2026-08-13
p6-003	accept		claude-opus-5	2026-08-13
p6-004	accept		claude-opus-5	2026-08-13
p6-005	accept		claude-opus-5	2026-08-13
p6-006	accept		claude-opus-5	2026-08-13
p6-007	accept		claude-opus-5	2026-08-13
p6-008	accept		claude-opus-5	2026-08-13
p6-009	accept		claude-opus-5	2026-08-13
p6-010	accept		claude-opus-5	2026-08-13
p6-011	accept		claude-opus-5	2026-08-13
p6-012	accept		claude-opus-5	2026-08-13
p6-013	accept		claude-opus-5	2026-08-13
p6-014	accept		claude-opus-5	2026-08-13
p6-015	accept		claude-opus-5	2026-08-13
p6-016	accept		claude-opus-5	2026-08-13
p6-017	accept		claude-opus-5	2026-08-13
p6-018	accept		claude-opus-5	2026-08-13
p6-019	accept		claude-opus-5	2026-08-13
p6-020	accept		claude-opus-5	2026-08-13
p6-021	accept		claude-opus-5	2026-08-13
p6-022	accept		claude-opus-5	2026-08-13
p6-023	accept		claude-opus-5	2026-08-13
p6-024	accept		claude-opus-5	2026-08-13
p6-025	accept		claude-opus-5	2026-08-13
p6-026	accept		claude-opus-5	2026-08-13
p6-027	accept		claude-opus-5	2026-08-13
p6-028	accept		claude-opus-5	2026-08-13
p6-029	accept		claude-opus-5	2026-08-13
p6-030	accept		claude-opus-5	2026-08-13
